Rank,Word,Count
426,stuff,276
427,feels,275
428,damn,273
429,2022,272
430,awesome,271
431,coast,268
432,surprisingly,267
433,days,267
434,semi,266
435,pack,266
436,ago,263
437,warmth,262
438,short,261
439,coming,260
440,hit,259
441,gets,259
442,jet,258
443,tasted,257
444,candy,257
445,slick,257
446,liquid,256
447,straw,256
448,price,255
449,start,255
450,carbonated,255
451,prefer,253
452,treehouse,253
453,found,252
454,15,252
455,pith,252
456,depth,251
457,carb,249
458,cherries,248
459,th,248
460,didn,247
461,batch,247
462,consumed,247
463,dankness,246
464,west,245
465,buy,245
466,18,244
467,ll,242
468,close,241
469,hits,240
470,velvety,239
471,noticeable,239
472,swallow,237
473,rating,237
474,given,232
475,regular,232
476,release,231
477,said,230
478,dessert,229
479,coating,229
480,backbone,228
481,whiskey,227
482,gentle,227
483,cloying,226
484,tartness,226
485,starts,225
486,having,225
487,things,224
488,barrels,223
489,12oz,223
490,let,222
491,there’s,221
492,bad,221
493,sweeter,221
494,especially,221
495,moderately,221
496,flavorful,220
497,thought,219
498,large,218
499,candied,218
500,second,217
501,ne,217
502,completely,215
503,2017,215
504,lovely,214
505,charred,214
506,chili,214
507,13,214
508,drinks,214
509,cold,213
510,mid,213
511,plus,213
512,expect,213
513,75,212
514,interesting,212
515,impressive,210
516,sue,210
517,easily,209
518,founders,209
519,grain,208
520,oranges,208
521,acidic,208
522,lasting,207
523,don’t,206
524,rated,206
525,prominent,206
526,23,205
527,plum,205
528,loads,204
529,collar,204
530,massive,204
531,wish,204
532,peppery,204
533,wet,204
534,unique,203
535,special,202
536,17,201
537,age,201
538,raspberry,201
539,14,199
540,despite,198
541,upfront,198
542,initial,197
543,edge,197
544,mixed,197
545,decadent,196
546,aging,196
547,pithy,195
548,draft,194
549,settles,194
550,treat,193
551,night,193
552,brewing,192
553,gives,192
554,layer,192
555,motor,191
556,woody,190
557,mellow,190
558,figs,189
559,overpowering,189
560,reminds,188
561,adds,187
562,sipper,187
563,expecting,186
564,couple,186
565,line,185
566,aggressive,184
567,england,184
568,passionfruit,184
569,standard,183
570,trying,183
571,oaky,183
572,pillowy,183
573,hay,183
574,that’s,182
575,original,182
576,ruby,181
577,scent,180
578,mildly,180
579,flavour,180
580,lives,179
581,khaki,179
582,fan,178
583,100,178
584,months,178
585,soapy,178
586,cbs,178
587,cake,177
588,passion,177
589,teku,176
590,opens,175
591,add,175
592,oh,175
593,purchased,175
594,pungent,174
595,pick,173
596,straight,173
597,smoke,173
598,drinkability,173
599,takes,173
600,open,172
601,happy,172
602,need,172
603,belgian,172
604,pure,171
605,effervescence,171
606,fridge,170
607,times,170
608,ml,170
609,bubbly,170
610,linger,169
611,mind,169
612,picked,168
613,typical,167
614,overwhelming,165
615,edges,165
616,cans,165
617,making,164
618,bottles,164
619,single,164
620,able,163
621,compared,163
622,nutty,163
623,tiny,163
624,dryness,163
625,fizzy,162
626,bought,162
627,came,161
628,coats,161
629,label,161
630,drying,160
631,exactly,159
632,2016,159
633,toasty,159
634,bar,159
635,topper,158
636,hue,158
637,simply,157
638,breakfast,157
639,punch,157
640,available,157
641,degrees,156
642,friend,156
643,tones,155
644,robust,155
645,fig,155
646,cellar,154
647,bean,154
648,peaches,154
649,share,153
650,cheers,153
651,ton,153
652,beige,153
653,hill,153
654,weeks,153
655,round,152
656,rum,152
657,example,152
658,peanut,152
659,immediately,151
660,doesn’t,151
661,brownie,151
662,honestly,151
663,marshmallow,150
664,layers,150
665,wasn,150
666,believe,150
667,booziness,150
668,home,150
669,cantaloupe,150
670,wild,150
671,room,148
672,ounce,148
673,goodness,148
674,shows,147
675,butter,146
676,wait,146
677,past,146
678,recedes,145
679,exceptional,145
680,stronger,144
681,nectarine,144
682,true,143
683,lactose,143
684,overripe,143
685,opened,142
686,american,142
687,week,142
688,musty,141
689,higher,141
690,trillium,139
691,feeling,138
692,cacao,138
693,24,138
694,rings,138
695,people,137
696,cut,137
697,delicate,137
698,chance,136
699,sense,136
700,opinion,136
701,non,136
702,wheat,136
703,mosaic,136
704,expectations,135
705,spices,135
706,rounded,135
707,felt,135
708,guess,134
709,grapes,134
710,topped,134
711,peppers,134
712,barleywine,134
713,live,133
714,course,132
715,wonderfully,132
716,initially,132
717,surface,132
718,month,131
719,spotty,131
720,earthiness,130
721,list,130
722,can’t,130
723,prickly,130
724,rye,130
725,muted,130
726,milky,130
727,pouring,129
728,grains,129
729,reason,129
730,offering,129
731,banana,129
732,barnyard,129
733,cola,128
734,took,128
735,turbid,128
736,pliny,128
737,biscuit,128
738,26,128
739,hazelnut,127
740,absolute,127
741,visible,127
742,beautifully,127
743,lambic,127
744,held,127
745,sips,126
746,yes,126
747,brewed,126
748,zesty,126
749,dates,125
750,superb,125
751,recommend,125
752,darker,124
753,surprised,124
754,store,124
755,mahogany,124
756,temperature,123
757,case,123
758,soon,123
759,barley,123
760,copper,123
761,tangy,123
762,pronounced,123
763,vinegar,123
764,picking,122
765,warmed,122
766,notch,122
767,relatively,121
768,reviewed,121
769,hopped,121
770,lively,121
771,variant,120
772,ok,120
773,tall,120
774,score,119
775,bittersweet,119
776,legs,119
777,temp,118
778,minutes,118
779,crazy,118
780,combination,118
781,offerings,118
782,ales,118
783,extra,118
784,earth,118
785,face,117
786,lived,117
787,work,117
788,local,117
789,elements,117
790,09,117
791,impression,117
792,subdued,117
793,pear,117
794,rocky,117
795,man,116
796,powder,116
797,slow,116
798,sticks,115
799,berry,115
800,use,115
801,quad,114
802,batter,114
803,pastry,114
804,works,114
805,fruitiness,113
806,750ml,113
807,tad,113
808,crafted,113
809,remember,113
810,powerful,112
811,today,112
812,giving,112
813,modest,112
814,dominant,111
815,barely,111
816,firm,111
817,aromatic,111
818,sourness,111
819,residual,110
820,late,110
821,beans,110
822,perfection,110
823,creaminess,110
824,bouquet,110
825,liked,110
826,pink,110
827,hands,109
828,didn’t,109
829,cracker,109
830,kick,109
831,thinner,109
832,oats,109
833,type,108
834,reviews,108
835,triple,108
836,wanted,107
837,disappointed,107
838,05,107
839,added,107
840,dominate,107
841,addition,106
842,courtesy,106
843,plums,106
844,form,106
845,sauce,106
846,lower,106
847,strength,106
848,resiny,106
849,wouldn,106
850,lasts,106
851,sediment,105
852,remains,105
853,rate,105
854,tell,105
855,hell,105
856,50,105
857,impressed,105
858,farmstead,105
859,highlights,104
860,based,104
861,adjuncts,104
862,yeah,104
863,spot,104
864,craft,104
865,sort,104
866,raw,104
867,dissipated,104
868,thicker,104
869,creamsicle,104
870,brandy,103
871,fully,103
872,worthy,103
873,taking,103
874,pop,103
875,sugary,103
876,sipping,103
877,waves,103
878,quick,103
879,colour,103
880,raspberries,103
881,place,102
882,reputation,102
883,intensity,102
884,center,102
885,lush,102
886,later,101
887,30,101
888,apparent,101
889,bring,101
890,considering,101
891,rest,101
892,usually,101
893,loved,101
894,juiciness,101
895,astringent,101
896,school,101
897,usual,101
898,keeps,100
899,thickness,100
900,underlying,100
901,reddish,100
902,restrained,100
903,basically,100
904,mean,99
905,tight,99
906,excited,99
907,characteristics,99
908,berries,99
909,leave,99
910,went,98
911,throat,98
912,nuts,98
913,isn’t,98
914,08,98
915,hope,98
916,fair,98
917,brett,98
918,underneath,97
919,wrong,97
920,spiciness,97
921,finishing,97
922,29,97
923,yeasty,97
924,bcbs,97
925,highest,96
926,toast,96
927,simple,96
928,gorgeous,96
929,distinct,96
930,mandarin,96
931,06,96
932,vinous,96
933,galaxy,96
934,sitting,95
935,inviting,95
936,stand,95
937,og,95
938,sides,95
939,doughy,95
940,vibrant,95
941,provides,94
942,phenomenal,94
943,pleasantly,94
944,zero,94
945,shared,94
946,adding,94
947,y,94
948,island,94
949,tannic,94
950,aspect,93
951,describe,93
952,chocolatey,93
953,seen,93
954,99,93
955,sunshine,93
956,ample,93
957,harsh,93
958,28,93
959,adjunct,92
960,follow,92
961,film,92
962,life,92
963,brews,92
964,flavored,92
965,guys,92
966,2023,92
967,saison,92
968,27,91
969,smoky,91
970,hold,91
971,skin,91
972,bottling,90
973,ratings,90
974,strawberry,90
975,leads,90
976,soy,90
977,i’d,90
978,enjoying,90
979,bursting,90
980,russian,90
981,de,90
982,says,89
983,pairs,89
984,flat,89
985,smelling,89
986,seek,89
987,dominates,89
988,shine,89
989,dominated,89
990,neipas,89
991,instead,89
992,stands,89
993,oatmeal,89
994,porter,89
995,resulting,88
996,imagine,88
997,integrated,88
998,capped,88
999,burst,88
1000,grainy,88
1001,honeydew,88
1002,undertones,88
1003,soaked,87
1004,weed,87
1005,packs,87
1006,effervescent,87
1007,ice,86
1008,early,86
1009,sits,86
1010,port,86
1011,opening,86
1012,luscious,86
1013,satisfying,86
1014,reminiscent,86
1015,appreciate,86
1016,clearly,86
1017,shot,85
1018,trip,85
1019,0,85
1020,esters,84
1021,delivers,84
1022,personally,84
1023,hides,84
1024,04,84
1025,received,84
1026,toppling,83
1027,possibly,83
1028,likely,83
1029,viscosity,83
1030,whiff,83
1031,recently,83
1032,winter,83
1033,final,83
1034,persistent,83
1035,particularly,83
1036,anise,83
1037,blended,82
1038,tg,82
1039,falls,82
1040,astringency,82
1041,fact,82
1042,fudgy,82
1043,water,82
1044,bba,82
1045,hand,82
1046,edition,82
1047,qualities,82
1048,crown,82
1049,thank,82
1050,stick,82
1051,clarity,82
1052,fuller,82
1053,machine,82
1054,kinda,81
1055,atop,81
1056,offers,81
1057,balances,81
1058,totally,81
1059,dangerously,81
1060,canning,81
1061,layered,80
1062,lacking,80
1063,check,80
1064,including,80
1065,unfortunately,80
1066,bubble,80
1067,blanket,80
1068,07,80
1069,fast,79
1070,pleasure,79
1071,surprising,79
1072,series,79
1073,gone,79
1074,recommended,79
1075,bubblegum,79
1076,expensive,78
1077,goliath,78
1078,minute,78
1079,prune,78
1080,covered,78
1081,weight,78
1082,friends,78
1083,2015,78
1084,nibs,78
1085,wave,78
1086,potent,78
1087,02,78
1088,amazingly,78
1089,limited,78
1090,substantial,78
1091,smelled,77
1092,finished,77
1093,area,77
1094,heard,77
1095,01,77
1096,ends,77
1097,03,77
1098,—,77
1099,bomber,77
1100,prairie,77
1101,delight,76
1102,trade,76
1103,recent,76
1104,holds,76
1105,inky,76
1106,deserves,76
1107,understand,76
1108,summer,76
1109,stamped,76
1110,hoppiness,76
1111,forms,76
1112,bigger,76
1113,onion,76
1114,disappoint,75
1115,set,75
1116,smoother,75
1117,faded,75
1118,stays,75
1119,srm,75
1120,bif,75
1121,category,74
1122,appropriate,74
1123,additional,74
1124,freshly,74
1125,change,74
1126,nelson,74
1127,holy,73
1128,backend,73
1129,brought,73
1130,ones,73
1131,begins,73
1132,translucent,73
1133,milkshake,73
1134,rim,73
1135,breweries,72
1136,started,72
1137,help,72
1138,gave,72
1139,delightful,72
1140,job,72
1141,alchemist,72
1142,entire,71
1143,wanting,71
1144,smoothness,71
1145,flavours,71
1146,lychee,71
1147,apa,71
1148,dinner,70
1149,needs,70
1150,moment,70
1151,general,70
1152,appears,70
1153,carries,70
1154,eventually,70
1155,elder,70
1156,possible,70
1157,blueberry,70
1158,river,70
1159,pulpy,70
1160,champagne,70
1161,vermont,69
1162,tannins,69
1163,nectar,69
1164,lips,69
1165,ris,69
1166,generous,69
1167,difference,69
